Id,GithubUrl,Role
2528905,dsuckau,['Frontend']
4457169,sravi4701,"['Frontend', 'Backend']"
11809191,parvezsohel,"['Frontend', 'Backend']"
8209382,swapnil1207,['Frontend']
8207824,shawnthottan,"['Frontend', 'Backend', 'DevOps']"
4454996,jessica-jordan,['Frontend']
11810247,nanthini10,['DataScience']
18077,schizoduckie,['Mobile']
11814169,quandb,['DataScience']
4462203,manojkumar3692,['Frontend']
4462206,Klem,['Backend']
21370,paulosuzart,"['Backend', 'Mobile']"
9998893,feysal-ibrahim,['Frontend']
14263,marcoluglio,['Mobile']
6332428,lordnino,['Frontend']
4468359,dmitryt,"['Frontend', 'Backend']"
11815257,rafiandria23,['DevOps']
10002204,fmirdita,['Frontend']
4470761,ahlusar1989,['DataScience']
2545628,prashant-andani,['Frontend']
8218268,neuroslice,"['Frontend', 'Mobile']"
38368,pub-comp,['DataScience']
2551600,HsnVahedi,['DevOps']
6337276,0raclewind,['Frontend']
2549767,rupok,['Mobile']
6339501,akshaycs10,['Backend']
8226083,pundojnr,['Mobile']
2555580,ashish-gaur,['Frontend']
55075,EA31337,['DevOps']
8227896,daphnecharles,['Frontend']
2558972,asilbalaban,['Backend']
8230810,james-work-account,['Frontend']
8227585,bharathikannano,['Frontend']
4477569,milad72t,['Backend']
11825464,hrmstockdale,['Frontend']
10011792,drew0530,['DevOps']
4481187,abhigyantiwari,"['Frontend', 'Backend']"
74653,neildavis,['Mobile']
6345677,razibmahmud50,['Frontend']
9984633,mahyamkashani,['Backend']
11803632,blocknatics,"['Frontend', 'Backend']"
13780821,mayank-dev1822,['Backend']
13778589,nathanieldaniels,['Frontend']
9987979,iamrajee,['Mobile']
4086,ferruccio,['Backend']
10015930,aabbhishek,"['Frontend', 'Backend', 'Mobile']"
6317252,abodesigner,['Frontend']
6355348,luboganev,"['Frontend', 'Backend', 'Mobile']"
10019547,jgturner1979,"['Frontend', 'Backend']"
2570358,tguizelini,"['Backend', 'Mobile']"
91660,jbasinger,['Mobile']
99868,jvangael,['DataScience']
6359951,hawz,['Frontend']
6358010,argylearson,['Backend']
6355795,digitalpow,['Frontend']
10024329,amorriscode,['DataScience']
13791661,rahmakevo,['Mobile']
8244292,dnlsyfq,['DataScience']
6360989,iamcaleberic,['DevOps']
6361484,bobnobrain,['Frontend']
11846165,crbilladeau,"['Frontend', 'Mobile']"
4491668,neelmanisehgal,['DataScience']
4497982,marcobuschini,"['Frontend', 'Backend']"
2580058,kjkrol,['Backend']
10027996,ramazanerikli,['Frontend']
8248523,dksifoua,['DataScience']
8248648,bartolomej,['Frontend']
124069,chaseflorell,['DevOps']
8248194,david26694,['DataScience']
10027630,horaciocome1,['Mobile']
127660,timburgess,['Frontend']
10032214,leosena777,['Mobile']
8249695,ricardoferreirades,['Frontend']
6371154,shril,['Backend']
13794784,akinghill,['Frontend']
2586904,vigneshuvi,['Mobile']
4503488,mrugeshparekh,['Frontend']
11853898,ShiannWilliams,"['Frontend', 'Backend']"
10037779,sazzadshakhbd,['Frontend']
2587280,diancabral,['Frontend']
6373590,diegocasmo,['Frontend']
149530,mfukar,['Mobile']
4509462,chnavarro,['Mobile']
11854570,kamiltkacz,['Frontend']
8259771,stupidly-logical,['Mobile']
2601521,ohadcn,['Mobile']
150999,slai,['Backend']
165751,maciektalaska,['Frontend']
2604201,danimai,['Frontend']
6383587,ArielSD,['Mobile']
4514063,ruikq,['Mobile']
178560,jcharra,['Mobile']
11865028,cpolishak,['Frontend']
11868024,maelfabien,['DataScience']
8272710,sholu,['DevOps']
6387567,santiagofranco,['Mobile']
6388016,jasonbwelsh,['Frontend']
2614426,Satevg,['DevOps']
8281678,mbreitling95,['Frontend']
6392174,jerry-shijieli,['DataScience']
10055961,adimacci95,['Frontend']
10061502,bluemona,['Mobile']
10060327,gradientus,['Frontend']
11874058,eduardocorreas,['Mobile']
205813,maxnachlinger,['Frontend']
212676,n3dst4,['Frontend']
211779,shaunokeefe,['DevOps']
13826840,oscar-ornelas,"['Frontend', 'Backend']"
4534799,kldgarrido,"['Backend', 'Mobile']"
215400,tskulbru,['Mobile']
6407474,socalledpf,['Frontend']
11881283,furquan95,['Frontend']
11881536,adisingh1992,['Mobile']
10068408,finianoneill,['DataScience']
6410960,mariocarloni,['DevOps']
13835203,marianafmedeiros,['DataScience']
6408008,rewberl,['DataScience']
226424,wvrossem,['Mobile']
231529,ChristianPeters,['Frontend']
13834029,itamartati,"['Frontend', 'Backend']"
11891459,ferneycaceres,['Frontend']
4545015,yasaryousuf,['Backend']
10071594,chetan177,['Frontend']
10071872,gabrielqschicora,"['Frontend', 'Backend']"
11889299,vkrinichansky,['Frontend']
10074064,phamhere,['Frontend']
4548635,jaredstevick,"['Backend', 'Mobile']"
6415546,nsfabina,['DataScience']
11894069,good-repository,"['Frontend', 'Mobile']"
6415994,gauravjain98,['DevOps']
240395,jcalejero,['DataScience']
240490,jonathaneunice,['DevOps']
10082744,anhnicky66,['Frontend']
8303730,benedikt-mayer,['DataScience']
4556802,argarak,['Frontend']
245966,jakub-g,['Mobile']
253940,leovo2708,"['Frontend', 'Backend']"
13849710,blainerice,['Frontend']
10089140,faisalkc4u,['Mobile']
6430017,mymosh,['Mobile']
260805,jensrantil,['Backend']
2656461,smilecs,['Mobile']
10091161,youngestsalon,['DataScience']
263651,tbd-develop,['Backend']
2659774,besingamkb,"['Frontend', 'Backend']"
4565485,ogirginc,['Backend']
2656991,nalon99,['DataScience']
8316056,lypzis,['Frontend']
2664634,ezzpify,['Mobile']
4568782,lkjhvcxz2002,['Backend']
2661182,cristofersousa,['Frontend']
2661706,rzani,['DevOps']
274154,vood,['Backend']
4570921,jimtryon,['Frontend']
13862543,ryanrotman,"['Frontend', 'Backend']"
275339,plashchynski,['DevOps']
10103127,richardvargas1,"['Frontend', 'Backend']"
11911490,mursalfk,['DataScience']
10101063,minhazhalim,['Frontend']
281188,cnrun,['DevOps']
10103162,willbswift,['Frontend']
285714,bumbleb2na,"['Frontend', 'Mobile']"
289992,bottlenecked,"['Frontend', 'Backend']"
2674956,manjush3v,['DataScience']
4579834,aliradmanesh,"['Frontend', 'Mobile']"
13860841,BryceSteuer,['Frontend']
11917716,cakazies,['Backend']
8325905,mpruna,['DevOps']
2670507,andreaugusto,"['Frontend', 'Backend']"
11927575,puntozap,"['Frontend', 'Backend']"
306602,naikus,['Mobile']
10110483,ruslanhasko,['Frontend']
10113654,jbrowncfa,['Frontend']
300807,ChrisCooper,['Mobile']
10117056,comandertvis,['Backend']
11929420,artjomsg,['Frontend']
308341,juanpicado,['Frontend']
309240,misiur,"['Frontend', 'Backend']"
13875516,idrisia12,['Frontend']
6457243,jessecambon,['DataScience']
2692326,vothanhdat,"['Frontend', 'Backend']"
307283,ispmarin,['DataScience']
11934066,graysonrandall,['Frontend']
317582,ialpert,['Backend']
4594263,belenfg,['Backend']
13887219,topwebfulldev,"['Frontend', 'Backend']"
321422,ramses-lopez,['Backend']
316656,themiurgo,['DataScience']
6464579,nedimcimpo,['Frontend']
4601340,legras,['Backend']
329082,vepo,['Backend']
10123679,monikanovackova,['DataScience']
331035,mnichols,"['Frontend', 'Backend']"
4594857,xinranli,['Frontend']
4595281,cemarte,['Frontend']
10129604,unikneeraj,['Frontend']
8350143,rahulshukla-rs,"['Frontend', 'Backend']"
2701144,tenkiller,['Backend']
2705186,ericbastarache,['Frontend']
13896312,thedrean,"['DevOps', 'DataScience']"
11949565,akkly4u,['Frontend']
6476982,stephcerratti,['Frontend']
8357798,rominamartin,"['Frontend', 'Mobile']"
6482248,pprathameshmore,"['Backend', 'Mobile']"
2715987,gulisashvili,['Frontend']
4614886,jeramai,"['Frontend', 'Backend']"
8363837,harriscreativity,['Mobile']
358245,chaobin,['Mobile']
359540,sauceforge,['DevOps']
4620259,billyhalim,"['Frontend', 'Backend', 'Mobile']"
4622470,rohanil,['Backend']
4622075,alokkarma,['Frontend']
364282,drsammyd,['Frontend']
13916437,jaicedev,['Frontend']
13913428,briarmossx1,['Frontend']
13914183,hiredtocode,['Frontend']
4628807,ismaelezequiel,"['Frontend', 'Backend']"
374783,studiomohawk,['Frontend']
10146400,codr99,['DataScience']
2731417,sirhoe,['DevOps']
11965698,kwlahr,['Frontend']
379949,sneas,['Frontend']
4632555,elivank,['Backend']
4631493,joaomacp,['Backend']
2736686,ErikUggeldahl,['Mobile']
6495570,abhirkeesara,['Frontend']
13925694,iamnini,"['Frontend', 'Backend']"
4637638,pichillilorenzo,['Mobile']
2737477,michael-hoffman,['DataScience']
392923,lebedov,['DataScience']
8385829,praveencodes,['Frontend']
10164573,hosseinhayati128,['DataScience']
6510470,erolrecep,['DataScience']
8389687,quwaysim,['Mobile']
6512762,davidfumo,['Mobile']
11983620,xanderios,['Frontend']
10170271,parimaay,['Mobile']
4644335,bhavinshah2010,['Frontend']
10173766,fengshangwuqi,['Frontend']
10177264,blake-enyart,['Backend']
4647781,davidcetinkaya,['Frontend']
2749890,chyngyz,['Frontend']
11987413,josephreubenbautista,['Frontend']
10174710,mujjazi,['Mobile']
418131,beatrupp,['Mobile']
425741,alejandroiglesias,['Frontend']
4654400,pdelboca,['DataScience']
8404508,rmeissn,['DevOps']
433061,bdetweiler,['DevOps']
6527598,samitier,['Frontend']
8407208,abdulmoizshaikh,['Mobile']
6529306,ajpwilson,['Frontend']
4665097,paolazaratem,['Frontend']
10192796,rohitdubey03,['DataScience']
8411937,lrabuffetti,"['Frontend', 'DevOps']"
10187911,benneee,['Frontend']
12003865,hasanse,"['Frontend', 'Mobile']"
6535392,intersim,['Frontend']
6535426,hungqcao,"['Frontend', 'Backend']"
13958216,jimtheo-dev,"['Backend', 'Mobile']"
2773398,deebloo,['Frontend']
8416569,msklyarov,['Mobile']
2776566,rdrozdowski,['Frontend']
6535217,melaniew,['Frontend']
6535616,kavalcante,['Frontend']
12010589,DaKwanT,['Backend']
4674965,jifarooq,"['Frontend', 'Backend']"
13959803,daalimouhcine,['Frontend']
457268,k0pernikus,['Backend']
6543357,surajzinjad,['DevOps']
2780428,alicj,"['Frontend', 'Backend']"
13963669,cmdrguyson,['Mobile']
8428950,cagriaydin,['Mobile']
467722,leucos,['DevOps']
8427476,mahender-vutkuri,['Frontend']
472974,sbuggay,['Frontend']
470682,khanmurtuza,['Mobile']
2789652,Damiya,['Frontend']
12023432,sankarsans,"['Frontend', 'Mobile']"
8429338,damienlancry,['DataScience']
6546138,s2606,['Backend']
476116,stackoverflow,['Backend']
4687451,bot101,['Mobile']
10214220,kshitijyad,['DataScience']
4692466,domzinhuu,['Mobile']
2796772,parabuzzle,['DevOps']
6552540,vikashvk,['Mobile']
10218312,sidjain1412,['DataScience']
10215265,morgscode,['Frontend']
8439576,mohith7548,['Mobile']
8440292,srukshan98,['Mobile']
492620,oz123,"['Backend', 'DevOps']"
12034758,vitor-avanco,['Frontend']
13981530,safwan-samsudeen,['Backend']
13983584,badalsherpa,"['Frontend', 'Backend']"
8444808,fabriziomiano,['DataScience']
6563219,carlosrberto,['Frontend']
13980423,crse,['Mobile']
