Id,GithubUrl,Role
2528905,dsuckau,['Frontend']
4457169,sravi4701,"['Frontend', 'Backend']"
11809191,parvezsohel,"['Frontend', 'Backend']"
8209382,swapnil1207,['Frontend']
8207824,shawnthottan,"['Frontend', 'Backend', 'DevOps', 'FullStack']"
4454996,jessica-jordan,['Frontend']
11810247,nanthini10,['DataScience']
8213463,alexeball,['FullStack']
18077,schizoduckie,['Mobile']
11812450,ferin79,['FullStack']
11812744,nafiudanlawal,['FullStack']
11814169,quandb,['DataScience']
8210602,kovachks,['FullStack']
4462203,manojkumar3692,"['Frontend', 'FullStack']"
4462206,Klem,['Backend']
21370,paulosuzart,"['Backend', 'Mobile']"
9998893,feysal-ibrahim,['Frontend']
13762264,pjpscriv,['FullStack']
14263,marcoluglio,['Mobile']
6332428,lordnino,['Frontend']
4468359,dmitryt,"['Frontend', 'Backend']"
11815257,rafiandria23,"['DevOps', 'FullStack']"
10002204,fmirdita,"['Frontend', 'FullStack']"
6335931,hvsr,['FullStack']
4470761,ahlusar1989,['DataScience']
2545628,prashant-andani,['Frontend']
8218268,neuroslice,"['Frontend', 'Mobile', 'FullStack']"
10004459,vamshi9666,['FullStack']
38368,pub-comp,['DataScience']
2551600,HsnVahedi,"['DevOps', 'FullStack']"
6333661,dxc2007,['FullStack']
8219031,mohitkh7,['FullStack']
6337276,0raclewind,['Frontend']
2549767,rupok,"['Mobile', 'FullStack']"
6339501,akshaycs10,['Backend']
13771741,jrolopez20,['FullStack']
8221160,priyankurs,['FullStack']
8226083,pundojnr,['Mobile']
4471793,cordazar,['FullStack']
45476,limscoder,['FullStack']
48098,bluehavana,['FullStack']
49982,marqsm,['FullStack']
2554381,dakkers,['FullStack']
2555580,ashish-gaur,"['Frontend', 'FullStack']"
55075,EA31337,['DevOps']
8227896,daphnecharles,['Frontend']
13776810,wesleysorrentino,['FullStack']
2558972,asilbalaban,['Backend']
8230810,james-work-account,['Frontend']
8227585,bharathikannano,['Frontend']
4477569,milad72t,['Backend']
13777163,sherelint,['FullStack']
11825464,hrmstockdale,"['Frontend', 'FullStack']"
10011792,drew0530,['DevOps']
4481187,abhigyantiwari,"['Frontend', 'Backend']"
74653,neildavis,['Mobile']
10013488,yungshenglu,['FullStack']
6345677,razibmahmud50,['Frontend']
8199974,jhordanpacheco,['FullStack']
9984633,mahyamkashani,['Backend']
11803632,blocknatics,"['Frontend', 'Backend']"
13780821,mayank-dev1822,['Backend']
13778589,nathanieldaniels,['Frontend']
11802247,ramesh-chathuranga,['FullStack']
13783329,rajasmit,['FullStack']
9987979,iamrajee,['Mobile']
4086,ferruccio,['Backend']
6317931,lefranck,['FullStack']
6316440,gabrielwr,['FullStack']
10015930,aabbhishek,"['Frontend', 'Backend', 'Mobile']"
10016139,aiyazn25,['FullStack']
6317252,abodesigner,['Frontend']
8237185,marioballe,['FullStack']
6355348,luboganev,"['Frontend', 'Backend', 'Mobile']"
2571777,imalabya,['FullStack']
10019547,jgturner1979,"['Frontend', 'Backend']"
2573566,shgysk8zer0,['FullStack']
2570358,tguizelini,"['Backend', 'Mobile']"
91660,jbasinger,['Mobile']
92189,stormwild,['FullStack']
99868,jvangael,['DataScience']
6359951,hawz,['Frontend']
6357983,robwa10,['FullStack']
6358010,argylearson,['Backend']
6355795,digitalpow,['Frontend']
10024329,amorriscode,['DataScience']
13791661,rahmakevo,['Mobile']
8244292,dnlsyfq,['DataScience']
6360989,iamcaleberic,"['DevOps', 'FullStack']"
6361484,bobnobrain,['Frontend']
4494547,girisagar46,['FullStack']
8245569,dquez,['FullStack']
11846165,crbilladeau,"['Frontend', 'Mobile']"
4491513,SanaNasar,['FullStack']
4491668,neelmanisehgal,['DataScience']
4497982,marcobuschini,"['Frontend', 'Backend', 'FullStack']"
10030431,mahmudjion,['FullStack']
2580058,kjkrol,"['Backend', 'FullStack']"
10027996,ramazanerikli,['Frontend']
8248523,dksifoua,['DataScience']
8248648,bartolomej,"['Frontend', 'FullStack']"
124069,chaseflorell,['DevOps']
8248194,david26694,['DataScience']
10027630,horaciocome1,['Mobile']
113573,amree,['FullStack']
114890,seifsallam,['FullStack']
127660,timburgess,"['Frontend', 'FullStack']"
8251344,jerryabah,['FullStack']
10032214,leosena777,['Mobile']
11847382,mdnmnahmed,['FullStack']
8249695,ricardoferreirades,['Frontend']
6371154,shril,['Backend']
13794784,akinghill,['Frontend']
2586904,vigneshuvi,['Mobile']
4503488,mrugeshparekh,['Frontend']
11851617,mkayfour,['FullStack']
13799578,hiteshshingala,['FullStack']
11853743,siddhantjan,['FullStack']
11853898,ShiannWilliams,"['Frontend', 'Backend']"
10037779,sazzadshakhbd,['Frontend']
2587280,diancabral,['Frontend']
6373590,diegocasmo,['Frontend']
2589217,nathan-brunetti,['FullStack']
149530,mfukar,['Mobile']
4509462,chnavarro,['Mobile']
158207,paragmeshram,['FullStack']
11854570,kamiltkacz,['Frontend']
10038275,nayaksofia,['FullStack']
8256030,nehalbhanushali,['FullStack']
10042564,hamadjaved69,['FullStack']
2598022,yingnansong,['FullStack']
8259771,stupidly-logical,['Mobile']
2601521,ohadcn,['Mobile']
10043266,mtvickery1,['FullStack']
4516160,juandavid8a,['FullStack']
150999,slai,['Backend']
6380625,msajidirfan,['FullStack']
11860257,bhanu-gupta,['FullStack']
165751,maciektalaska,"['Frontend', 'FullStack']"
2604201,danimai,['Frontend']
6383587,ArielSD,['Mobile']
4514063,ruikq,['Mobile']
178560,jcharra,['Mobile']
6382932,alimoncul,['FullStack']
11865028,cpolishak,['Frontend']
11868024,maelfabien,['DataScience']
8272710,sholu,['DevOps']
8272786,rubenpazch,['FullStack']
6387567,santiagofranco,['Mobile']
6388016,jasonbwelsh,['Frontend']
2614426,Satevg,['DevOps']
2617071,maharramoff,['FullStack']
8281678,mbreitling95,['Frontend']
6392174,jerry-shijieli,['DataScience']
10055961,adimacci95,['Frontend']
10061439,haseebkhan55,['FullStack']
10061502,bluemona,['Mobile']
10060327,gradientus,['Frontend']
11875721,nataliesun,['FullStack']
11874058,eduardocorreas,['Mobile']
203371,8enSmith,['FullStack']
2619188,demisx,['FullStack']
4534959,jclemans,['FullStack']
11877561,thanostheo,['FullStack']
205813,maxnachlinger,"['Frontend', 'FullStack']"
212676,n3dst4,['Frontend']
211779,shaunokeefe,['DevOps']
13826840,oscar-ornelas,"['Frontend', 'Backend']"
4534799,kldgarrido,"['Backend', 'Mobile', 'FullStack']"
215086,paulyoder,['FullStack']
215400,tskulbru,['Mobile']
6407474,socalledpf,['Frontend']
219406,Leftyx,['FullStack']
4541715,sreenivaspshenoy,['FullStack']
6406566,michaellyons,['FullStack']
11881283,furquan95,['Frontend']
11881536,adisingh1992,['Mobile']
10068408,finianoneill,['DataScience']
6410960,mariocarloni,['DevOps']
4540727,mahidaparth7,['FullStack']
13835203,marianafmedeiros,['DataScience']
13833218,mohammadrifky,['FullStack']
6407851,gsahadevan,['FullStack']
6408008,rewberl,['DataScience']
6408297,vikaschouhan8,['FullStack']
226424,wvrossem,['Mobile']
231365,cek333,['FullStack']
231529,ChristianPeters,['Frontend']
13834029,itamartati,"['Frontend', 'Backend', 'FullStack']"
11891459,ferneycaceres,['Frontend']
4545015,yasaryousuf,['Backend']
10071594,chetan177,['Frontend']
10071872,gabrielqschicora,"['Frontend', 'Backend']"
11889299,vkrinichansky,['Frontend']
10074064,phamhere,"['Frontend', 'FullStack']"
4548635,jaredstevick,"['Backend', 'Mobile']"
11887984,daniellma,['FullStack']
6415546,nsfabina,['DataScience']
11894804,weili512,['FullStack']
8299794,csrohit,['FullStack']
13841905,gokulnathp,['FullStack']
11894069,good-repository,"['Frontend', 'Mobile']"
6415971,sengarsameer,['FullStack']
6415994,gauravjain98,['DevOps']
240395,jcalejero,['DataScience']
240490,jonathaneunice,"['DevOps', 'FullStack']"
4549952,chaminw,['FullStack']
8299089,marcusitalo,['FullStack']
10082744,anhnicky66,['Frontend']
8303730,benedikt-mayer,['DataScience']
10084708,brendonhc,['FullStack']
4556802,argarak,['Frontend']
245966,jakub-g,['Mobile']
253940,leovo2708,"['Frontend', 'Backend']"
13849179,vivek-jain17,['FullStack']
13849710,blainerice,['Frontend']
264892,rexwhitten,['FullStack']
10089140,faisalkc4u,['Mobile']
6430017,mymosh,['Mobile']
260771,mcmire,['FullStack']
260805,jensrantil,['Backend']
2656461,smilecs,['Mobile']
10091161,youngestsalon,['DataScience']
263651,tbd-develop,['Backend']
2658916,ndaidong,['FullStack']
2659774,besingamkb,"['Frontend', 'Backend', 'FullStack']"
8311966,sumitshinde559,['FullStack']
4565485,ogirginc,"['Backend', 'FullStack']"
2656991,nalon99,['DataScience']
8316056,lypzis,['Frontend']
2664634,ezzpify,['Mobile']
4568686,kpion,['FullStack']
4568782,lkjhvcxz2002,"['Backend', 'FullStack']"
6438037,divyasripadham,['FullStack']
2661182,cristofersousa,['Frontend']
2661706,rzani,['DevOps']
274154,vood,['Backend']
10096347,duncangrubbs,['FullStack']
4570921,jimtryon,['Frontend']
13862543,ryanrotman,"['Frontend', 'Backend', 'FullStack']"
275339,plashchynski,['DevOps']
10103127,richardvargas1,"['Frontend', 'Backend']"
11911490,mursalfk,['DataScience']
10101063,minhazhalim,['Frontend']
281188,cnrun,['DevOps']
8322540,treydevdenver,['FullStack']
287856,mitchel456,['FullStack']
10103162,willbswift,['Frontend']
285714,bumbleb2na,"['Frontend', 'Mobile', 'FullStack']"
13867700,rkraeher,['FullStack']
8326312,indiamos,['FullStack']
13871229,bedrockcoder,['FullStack']
289992,bottlenecked,"['Frontend', 'Backend']"
2674956,manjush3v,['DataScience']
4579834,aliradmanesh,"['Frontend', 'Mobile']"
13860841,BryceSteuer,['Frontend']
11917716,cakazies,['Backend']
8325905,mpruna,['DevOps']
2670507,andreaugusto,"['Frontend', 'Backend']"
11927187,lekanojulowo,['FullStack']
11927575,puntozap,"['Frontend', 'Backend']"
306602,naikus,['Mobile']
10110483,ruslanhasko,['Frontend']
10113654,jbrowncfa,"['Frontend', 'FullStack']"
300807,ChrisCooper,['Mobile']
10117056,comandertvis,['Backend']
11929420,artjomsg,['Frontend']
308341,juanpicado,['Frontend']
309240,misiur,"['Frontend', 'Backend']"
13875516,idrisia12,['Frontend']
4591006,falcoagustin,['FullStack']
6457243,jessecambon,['DataScience']
2692326,vothanhdat,"['Frontend', 'Backend']"
307283,ispmarin,['DataScience']
11934066,graysonrandall,['Frontend']
316799,felipeoriani,['FullStack']
317582,ialpert,['Backend']
4594263,belenfg,['Backend']
13887219,topwebfulldev,"['Frontend', 'Backend', 'FullStack']"
321422,ramses-lopez,['Backend']
316656,themiurgo,['DataScience']
6464579,nedimcimpo,['Frontend']
8343546,izayacity,['FullStack']
4601340,legras,['Backend']
329082,vepo,['Backend']
10123679,monikanovackova,['DataScience']
331035,mnichols,"['Frontend', 'Backend']"
4594857,xinranli,['Frontend']
4595281,cemarte,['Frontend']
11940276,jacolam,['FullStack']
11940843,joselpadronc,['FullStack']
10129604,unikneeraj,"['Frontend', 'FullStack']"
13895621,deestarks,['FullStack']
