,bio_min,bio_max,descriptions_min,descriptions_max,names_min,names_max,topics_min,topics_max,precision,recall,f1,auc,jaccard,hamming_loss
,,,,,,,,,0.78,0.49,0.60,0.71,0.43,0.16
13,0.01,0.2,0.04,0.15,0.03,0.25,0.01,0.25,0.77,0.49,0.60,0.71,0.43,0.16
60,0.01,0.2,0.05,0.15,0.05,0.2,0.01,0.2,0.77,0.49,0.60,0.71,0.43,0.16
40,0.02,0.25,0.04,0.25,0.02,0.25,0.02,0.25,0.78,0.48,0.59,0.71,0.42,0.16
58,0.01,0.2,0.01,0.15,0.04,0.1,0.04,0.1,0.78,0.48,0.59,0.71,0.42,0.16
30,0.01,0.2,0.01,0.2,0.03,0.1,0.02,0.15,0.78,0.48,0.59,0.71,0.42,0.16
9,0.02,0.15,0.01,0.2,0.03,0.1,0.02,0.2,0.78,0.48,0.59,0.71,0.42,0.16
88,0.02,0.15,0.05,0.15,0.02,0.25,0.01,0.2,0.77,0.48,0.59,0.71,0.42,0.16
95,0.01,0.25,0.05,0.2,0.01,0.1,0.05,0.2,0.78,0.48,0.59,0.71,0.42,0.16
38,0.02,0.25,0.04,0.2,0.01,0.1,0.01,0.1,0.77,0.48,0.59,0.71,0.42,0.16
92,0.01,0.1,0.04,0.25,0.02,0.25,0.01,0.1,0.77,0.48,0.59,0.71,0.42,0.16
69,0.02,0.15,0.05,0.1,0.03,0.2,0.02,0.15,0.77,0.48,0.59,0.71,0.42,0.16
24,0.01,0.15,0.02,0.25,0.04,0.25,0.02,0.15,0.78,0.48,0.59,0.71,0.42,0.16
67,0.02,0.15,0.02,0.25,0.03,0.1,0.01,0.25,0.78,0.48,0.59,0.71,0.42,0.16
1,0.02,0.15,0.04,0.2,0.04,0.25,0.02,0.1,0.78,0.48,0.59,0.71,0.42,0.16
8,0.01,0.15,0.05,0.1,0.04,0.25,0.02,0.25,0.77,0.48,0.59,0.71,0.42,0.16
0,0.02,0.25,0.05,0.25,0.05,0.25,0.02,0.2,0.77,0.48,0.59,0.71,0.42,0.16
83,0.02,0.15,0.04,0.2,0.05,0.15,0.03,0.25,0.78,0.48,0.59,0.71,0.42,0.16
54,0.02,0.2,0.05,0.1,0.02,0.25,0.02,0.2,0.78,0.48,0.59,0.71,0.42,0.16
41,0.02,0.25,0.01,0.15,0.02,0.25,0.05,0.25,0.78,0.47,0.59,0.71,0.42,0.16
31,0.01,0.25,0.05,0.25,0.04,0.2,0.03,0.1,0.78,0.47,0.59,0.71,0.42,0.16
32,0.02,0.1,0.04,0.15,0.01,0.2,0.03,0.1,0.78,0.47,0.59,0.71,0.42,0.16
64,0.01,0.2,0.05,0.15,0.05,0.2,0.05,0.15,0.78,0.47,0.59,0.71,0.42,0.16
75,0.01,0.25,0.01,0.2,0.01,0.25,0.01,0.25,0.78,0.47,0.59,0.71,0.42,0.16
59,0.03,0.25,0.02,0.25,0.02,0.25,0.01,0.1,0.78,0.47,0.59,0.70,0.42,0.16
18,0.02,0.2,0.01,0.15,0.02,0.1,0.02,0.2,0.78,0.47,0.59,0.70,0.42,0.16
82,0.01,0.25,0.01,0.1,0.02,0.1,0.05,0.1,0.78,0.47,0.59,0.71,0.42,0.16
76,0.01,0.1,0.04,0.1,0.02,0.1,0.01,0.15,0.76,0.48,0.59,0.71,0.42,0.16
93,0.01,0.2,0.04,0.1,0.04,0.15,0.05,0.25,0.77,0.48,0.59,0.71,0.42,0.16
52,0.04,0.1,0.04,0.1,0.03,0.15,0.03,0.25,0.77,0.47,0.59,0.70,0.42,0.16
46,0.02,0.15,0.03,0.1,0.03,0.15,0.05,0.15,0.77,0.48,0.59,0.71,0.42,0.16
34,0.04,0.25,0.03,0.25,0.02,0.25,0.02,0.15,0.78,0.47,0.59,0.70,0.42,0.16
71,0.01,0.25,0.04,0.1,0.05,0.1,0.02,0.15,0.77,0.47,0.59,0.71,0.42,0.16
35,0.03,0.25,0.05,0.2,0.02,0.1,0.02,0.1,0.78,0.47,0.59,0.70,0.42,0.16
11,0.04,0.25,0.01,0.2,0.05,0.25,0.04,0.25,0.78,0.47,0.59,0.70,0.42,0.16
