Id,GithubUrl,Role
9856098,Olawalle,['Frontend']
2549767,rupok,['Mobile']
6308776,minhkhang1795,['Mobile']
8155999,angeal185,['Mobile']
4454996,jessica-jordan,['Frontend']
9878099,dokrongly,['Backend']
6308174,jrizza88,['Frontend']
55075,EA31337,['DevOps']
4086,ferruccio,['Backend']
9878627,mkp0203,['Frontend']
2580058,kjkrol,['Backend']
4477569,milad72t,['Backend']
13613056,arishojaei,['Frontend']
6332428,lordnino,['Frontend']
8182578,syknapse,['Frontend']
13612030,janogale,['Frontend']
4481187,abhigyantiwari,"['Frontend', 'Backend']"
11691076,adam-harmasz,['Backend']
2586904,vigneshuvi,['Mobile']
2587280,diancabral,['Frontend']
74653,neildavis,['Mobile']
6337276,0raclewind,['Frontend']
11695036,yoet92,"['Frontend', 'Backend']"
4491668,neelmanisehgal,['DataScience']
8191580,bradleyhop,['Frontend']
91660,jbasinger,['Mobile']
6339501,akshaycs10,['Backend']
99868,jvangael,['DataScience']
6345677,razibmahmud50,['Frontend']
4497982,marcobuschini,"['Frontend', 'Backend']"
2601521,ohadcn,['Mobile']
8197062,bestbrain10,"['Backend', 'DevOps']"
2604201,danimai,['Frontend']
127660,timburgess,['Frontend']
124069,chaseflorell,['DevOps']
6355795,digitalpow,['Frontend']
4503488,mrugeshparekh,['Frontend']
6358010,argylearson,['Backend']
8209382,swapnil1207,['Frontend']
6355348,luboganev,"['Frontend', 'Backend', 'Mobile']"
6359951,hawz,['Frontend']
149530,mfukar,['Mobile']
4509462,chnavarro,['Mobile']
2614426,Satevg,['DevOps']
8207824,shawnthottan,"['Frontend', 'Backend', 'DevOps']"
6360989,iamcaleberic,['DevOps']
150999,slai,['Backend']
4514063,ruikq,['Mobile']
11713310,lornaroberts,['Frontend']
6361484,bobnobrain,['Frontend']
9915139,leoplacencia,['Backend']
6371154,shril,['Backend']
9915572,vronney,['Frontend']
165751,maciektalaska,['Frontend']
9918007,davenathanael,['Backend']
9918309,josteph,['Frontend']
8218268,neuroslice,"['Frontend', 'Mobile']"
6373590,diegocasmo,['Frontend']
8226083,pundojnr,['Mobile']
8227896,daphnecharles,['Frontend']
8227585,bharathikannano,['Frontend']
6383587,ArielSD,['Mobile']
8230810,james-work-account,['Frontend']
4534799,kldgarrido,"['Backend', 'Mobile']"
11736959,ghayward,['DataScience']
11737161,williamtrindade,['Backend']
211779,shaunokeefe,['DevOps']
6387567,santiagofranco,['Mobile']
6388016,jasonbwelsh,['Frontend']
205813,maxnachlinger,['Frontend']
212676,n3dst4,['Frontend']
6392174,jerry-shijieli,['DataScience']
11738471,odayabueid,"['Frontend', 'Backend']"
215400,tskulbru,['Mobile']
9935435,jonathanmark,['Mobile']
2656461,smilecs,['Mobile']
4545015,yasaryousuf,['Backend']
226424,wvrossem,['Mobile']
8244292,dnlsyfq,['DataScience']
9944947,des137,['DataScience']
8248194,david26694,['DataScience']
4548635,jaredstevick,"['Backend', 'Mobile']"
13674995,emberglo,['Frontend']
13673337,perfect-dav,['Frontend']
2656991,nalon99,['DataScience']
231529,ChristianPeters,['Frontend']
8248523,dksifoua,['DataScience']
8248648,bartolomej,['Frontend']
2659774,besingamkb,"['Frontend', 'Backend']"
240395,jcalejero,['DataScience']
240490,jonathaneunice,['DevOps']
8249695,ricardoferreirades,['Frontend']
2664634,ezzpify,['Mobile']
8253662,maheshmnj,['Mobile']
6407474,socalledpf,['Frontend']
6408008,rewberl,['DataScience']
2670507,andreaugusto,"['Frontend', 'Backend']"
2661182,cristofersousa,['Frontend']
2661706,rzani,['DevOps']
245966,jakub-g,['Mobile']
4556802,argarak,['Frontend']
8259771,stupidly-logical,['Mobile']
2674956,manjush3v,['DataScience']
6410960,mariocarloni,['DevOps']
260805,jensrantil,['Backend']
4565485,ogirginc,['Backend']
263651,tbd-develop,['Backend']
253940,leovo2708,"['Frontend', 'Backend']"
9961885,lvlasuod,"['Backend', 'Mobile']"
